num_of_topics,coherence_values
1,0.22952398556202852
2,0.25344860544266207
3,0.2551940142455074
4,0.2494546618463575
5,0.2718470363941168
6,0.31000488021910266
7,0.279177719319248
8,0.2898631039052254
9,0.3159423014327372
10,0.2800478096949486
