Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
48,4.0,0.9726,"number, allcaps, covid, repeated, gugus_tugas, orang, moga, wabah, masyarakat, mata_rantai","['number', 'mnyuruh', 'covid', 'number', 'sgera', 'pergi', 'allah', 'sang', 'maha', 'cipta', 'bukankh', 'covid', 'number', 'didik', 'suasana', 'covid', 'number', 'aktif', 'sebar', 'orang', 'takut', 'orang', 'dekat', 'berdzikir', 'doa', 'mohon', 'lindung', 'allah', 'sang', 'kholiq', 'repeated']"
49,5.0,0.9513,"allcaps, covid, number, repeated, moga, perintah, indonesia, iya, pandemi, bantu","['malaysia', 'kena', 'covid', 'teman', 'teman', 'lo', 'kerja', 'pulang', 'indonesia', 'number', 'ribu', 'orang', 'ber', 'resiko', 'bawa', 'virus', 'pulang']"
50,1.0,0.6051,"allcaps, covid, number, tenaga_medis, iya, cegah, repeated, sebar, moga, medis","['skrinews', 'allcaps', 'cegah', 'sebar', 'virus', 'corona', 'allcaps', 'allcaps', 'wartawan', 'media', 'skri', 'satgas', 'rawan', 'covid', 'allcaps', 'number', 'allcaps', 'desa', 'allcaps']"
51,3.0,0.9124,"number, covid, allcaps, repeated, orang, rumah, iya, tangan, moga, virus","['lebaran', 'sebentar', 'gara', 'covid', 'number', 'lebaran', 'butuh', 'aksesoris', 'iya']"
52,6.0,0.9204,"number, covid, allcaps, repeated, virus, sebar, cegah, jaga, corona, cuci_tangan","['giat', 'bhabinkamtibmas', 'masyarakat', 'semprot', 'disinfektan', 'cegah', 'sebar', 'virus', 'covid', 'number']"
53,0.0,0.8748,"number, covid, allcaps, repeated, virus, corona, iya, indonesia, cegah, papua_barat","['kasih', 'sayang', 'allah', 'musibah', 'covid', 'number']"
54,6.0,0.9452,"number, covid, allcaps, repeated, virus, sebar, cegah, jaga, corona, cuci_tangan","['anggota', 'polsek', 'koba', 'himbau', 'pemuda', 'kumpul', 'kumpul', 'pulang', 'rumah', 'cegah', 'sebar', 'allcaps', 'covid', 'allcaps', 'number']"
55,5.0,0.9757,"allcaps, covid, number, repeated, moga, perintah, indonesia, iya, pandemi, bantu","['met', 'pagi', 'allcaps', 'nkri', 'allcaps', 'repeated', 'spy', 'trlalu', 'heboh', 'data', 'mati', 'covid', 'number', 'repeated', 'jadi', 'banding', 'mati', 'prop', 'indon', 'sblm', 'wabah', 'corona', 'indon', 'repeated', 'jk', 'tara', 'mati', 'sblm', 'corona', 'repeated', 'angka', 'mati', 'norma', 'sj', 'repeated']"
56,0.0,0.9374,"number, covid, allcaps, repeated, virus, corona, iya, indonesia, cegah, papua_barat","['tido', 'la', 'nak', 'harap', 'azali', 'takde', 'hati', 'cuba', 'harap', 'covid', 'takde', 'je', 'je']"
57,1.0,0.9204,"allcaps, covid, number, tenaga_medis, iya, cegah, repeated, sebar, moga, medis","['cegah', 'sakit', 'wabak', 'allcaps', 'covid', 'allcaps', 'number', 'sila', 'baca', 'risalah']"
58,3.0,0.8516,"number, covid, allcaps, repeated, orang, rumah, iya, tangan, moga, virus","['iya', 'sel', 'lihat', 'dengerin', 'lukman', 'sardi', 'bilang', 'rumah', 'sakit', 'penuh', 'suruh', 'pulang', 'orang', 'awam', 'tau', 'usir', 'triase', 'allcaps', 'jkt', 'allcaps', 'parah', 'banget', 'covid', 'shg', 'orang', 'sakit', 'parah', 'mlh', 'jadi', 'kena', 'triase']"
59,5.0,0.9635,"allcaps, covid, number, repeated, moga, perintah, indonesia, iya, pandemi, bantu","['kopi', 'pagi', 'nikmat', 'kabar', 'baik', 'perintah', 'aceh', 'salur', 'bantu', 'pokok', 'masyarakat', 'dampak', 'covid', 'number', 'kriteria', 'terima', 'allcaps', 'pkh', 'allcaps', 'allcaps', 'bpnt', 'allcaps', 'syukur']"
60,3.0,0.9326,"number, covid, allcaps, repeated, orang, rumah, iya, tangan, moga, virus","['date', 'polri', 'tindak', 'number', 'simpang', 'produksi', 'distribusi', 'allcaps', 'apd', 'covid', 'allcaps', 'number']"
61,4.0,0.9416,"number, allcaps, covid, repeated, gugus_tugas, orang, moga, wabah, masyarakat, mata_rantai","['eh', 'bacot', 'parah', 'covid', 'repeated', 'anjing', 'sia', 'bele', 'repeated', 'pantat', 'koreng', 'repeated', 'sok', 'blgu']"
62,6.0,0.9027,"number, covid, allcaps, repeated, virus, sebar, cegah, jaga, corona, cuci_tangan","['lumpuh', 'peran', 'negara', 'tangan', 'covid', 'number', 'tegak', 'wujud']"
63,6.0,0.9663,"number, covid, allcaps, repeated, virus, sebar, cegah, jaga, corona, cuci_tangan","['my', 'liberty', 'ends', 'where', 'your', 'nose', 'begins', 'repeated', 'cocok', 'banget', 'era', 'allcaps', 'covid', 'allcaps', 'number', 'repeated', 'colek', 'colek', 'hidung', 'normal', 'nggak', 'allcaps', 'covid', 'allcaps', 'number']"
64,5.0,0.9763,"allcaps, covid, number, repeated, moga, perintah, indonesia, iya, pandemi, bantu","['allcaps', 'kejut', 'allcaps', 'repeated', 'terkanjat', 'je', 'warga', 'indonesia', 'kejut', 'tindak', 'perintah', 'malaysia', 'jaga', 'rakyat', 'beri', 'pelbagai', 'insentif', 'dsaat', 'laksana', 'allcaps', 'pkp', 'allcaps', 'ikut', 'tular', 'wabak', 'allcaps', 'covid', 'allcaps', 'number', 'baca', 'komen', 'warga', 'indonesia', 'ruang', 'komen', 'youtube']"
65,6.0,0.9124,"number, covid, allcaps, repeated, virus, sebar, cegah, jaga, corona, cuci_tangan","['sugeng', 'ambal', 'warso', 'repeated', 'bahgia', 'covid', 'atas', 'giat', 'repeated']"
66,0.0,0.927,"number, covid, allcaps, repeated, virus, corona, iya, indonesia, cegah, papua_barat","['tinggal', 'covid', 'number', 'emak', 'lahir', 'dek', 'emak', 'tau', 'emak', 'hawa', 'nafsu']"
67,4.0,0.9602,"number, allcaps, covid, repeated, gugus_tugas, orang, moga, wabah, masyarakat, mata_rantai","['susah', 'kek', 'putus', 'mata', 'rantai', 'allcaps', 'covid', 'allcaps', 'number', 'indonesia', 'budaya', 'masyarakat', 'mayoritas', 'belanja', 'pasar', 'tradisional', 'rumah', 'ngereceh', 'mata_rantai', 'mata_rantai', 'mata_rantai']"
68,5.0,0.9619,"allcaps, covid, number, repeated, moga, perintah, indonesia, iya, pandemi, bantu","['number', 'langkah', 'ambil', 'perintah', 'atas', 'dampak', 'covid', 'number', 'kerjasama', 'internasional', 'kumpul', 'data', 'sakit', 'mati', 'duduk', 'number', 'periksa', 'klinis', 'fisik', 'laboratorium', 'tega', 'diagnosis']"
69,5.0,0.9124,"allcaps, covid, number, repeated, moga, perintah, indonesia, iya, pandemi, bantu","['kurang', 'risiko', 'awda', 'jangkit', 'virus', 'allcaps', 'covid', 'allcaps', 'number']"
70,6.0,0.9562,"number, covid, allcaps, repeated, virus, sebar, cegah, jaga, corona, cuci_tangan","['tips', 'ilmuwan', 'tingkat', 'kebal', 'tubuh', 'mari', 'lawan', 'covid', 'number', 'sistem', 'tahan', 'tubuh', 'mekanisme', 'efektif', 'jaga', 'tubuh', 'serang', 'sakit', 'via']"
71,4.0,0.9619,"number, allcaps, covid, repeated, gugus_tugas, orang, moga, wabah, masyarakat, mata_rantai","['selamat', 'ingat', 'jumat', 'agung', 'selamat', 'makna', 'arti', 'korban', 'nya', 'sungguh', 'cinta', 'kasih', 'korban', 'lawan', 'covid', 'number', 'buah', 'datang', 'paskah', 'happy', 'good', 'friday']"
72,0.0,0.9326,"number, covid, allcaps, repeated, virus, corona, iya, indonesia, cegah, papua_barat","['pandemi', 'covid', 'number', 'mendikbud', 'dana', 'allcaps', 'bos', 'allcaps', 'beli', 'kuota', 'internet', 'siswa']"
73,4.0,0.6812,"number, allcaps, covid, repeated, gugus_tugas, orang, moga, wabah, masyarakat, mata_rantai","['moga', 'sehat', 'jasmani', 'rohani', 'iya', 'dok', 'moga', 'lindung', 'allcaps', 'allah', 'swt', 'allcaps', 'hindar', 'fitnah', 'dajjal', 'moga', 'mulut', 'senantiasa', 'berdzikir', 'insyaallah', 'mjdi', 'tameng', 'virus', 'covid', 'number', 'ikhtiar']"
74,4.0,0.9374,"number, allcaps, covid, repeated, gugus_tugas, orang, moga, wabah, masyarakat, mata_rantai","['number', 'narapidana', 'bebas', 'wabah', 'covid', 'number', 'koruptor', 'repeated', 'serba', 'serbi', 'allcaps', 'mmc', 'allcaps']"
75,4.0,0.9513,"number, allcaps, covid, repeated, gugus_tugas, orang, moga, wabah, masyarakat, mata_rantai","['moga', 'sembuh', 'coba', 'lg', 'tulis', 'corona', 'tentara', 'allah', 'virus', 'kenal', 'sara', 'mari', 'doa', 'spy', 'wabah', 'moga', 'elongated']"
76,0.0,0.9374,"number, covid, allcaps, repeated, virus, corona, iya, indonesia, cegah, papua_barat","['hati', 'hati', 'cegah', 'corona', 'repeated', 'pangeran', 'charles', 'papar', 'covid', 'number', 'hidup', 'hati', 'jaga']"
77,6.0,0.708,"number, covid, allcaps, repeated, virus, sebar, cegah, jaga, corona, cuci_tangan","['gejala', 'covid']"
78,0.0,0.965,"number, covid, allcaps, repeated, virus, corona, iya, indonesia, cegah, papua_barat","['kemarin', 'depan', 'tau', 'wabah', 'covid', 'number', 'rubah', 'semu', 'doannya', 'samal', 'allah', 'mintannya', 'rahmat', 'lindung', 'mudah', 'orang', 'untung', 'sok', 'kuat', 'kakak', 'repeated', 'atur', 'sok', 'atur']"
79,0.0,0.8249,"number, covid, allcaps, repeated, virus, corona, iya, indonesia, cegah, papua_barat","['covid', 'renang', 'ra', 'to']"
80,4.0,0.927,"number, allcaps, covid, repeated, gugus_tugas, orang, moga, wabah, masyarakat, mata_rantai","['anies', 'repeated', 'beliau', 'jajar', 'konsisten', 'lawan', 'covid', 'number', 'jegal', 'pusat', 'repeated']"
81,0.0,0.9635,"number, covid, allcaps, repeated, virus, corona, iya, indonesia, cegah, papua_barat","['sebab', 'pandemik', 'allcaps', 'covid', 'allcaps', 'number', 'penjara', 'sosial', 'norma', 'baharu', 'sekurang', 'nya', 'tempoh', 'sekurang', 'nya', 'kawal', 'pantau', 'batal', 'himpun', 'himpun', 'ramadan', 'aidilfitri', 'haji']"
82,4.0,0.9027,"number, allcaps, covid, repeated, gugus_tugas, orang, moga, wabah, masyarakat, mata_rantai","['san', 'bernardino', 'county', 'allcaps', 'covid', 'allcaps', 'number', 'data']"
83,4.0,0.8905,"number, allcaps, covid, repeated, gugus_tugas, orang, moga, wabah, masyarakat, mata_rantai","['allcaps', 'dpr', 'allcaps', 'bentuk', 'timwas', 'covid', 'number']"
