Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
211,5.0,0.927,"allcaps, covid, number, repeated, moga, perintah, indonesia, iya, pandemi, bantu","['covid', 'number', 'lari', 'kencang', 'buru', 'mangsa', 'adminstrasi', 'allcaps', 'psbb', 'allcaps', 'jalan']"
212,4.0,0.5675,"number, allcaps, covid, repeated, gugus_tugas, orang, moga, wabah, masyarakat, mata_rantai","['tim', 'gugus', 'tugas', 'covid', 'number', 'semprot', 'kawasan', 'medan', 'utara', 'gugus_tugas', 'gugus_tugas', 'gugus_tugas']"
213,6.0,0.8905,"number, covid, allcaps, repeated, virus, sebar, cegah, jaga, corona, cuci_tangan","['jujur', 'sih', 'gapernah', 'ngikutin', 'berita', 'covid', 'pusingg']"
214,3.0,0.9485,"number, covid, allcaps, repeated, orang, rumah, iya, tangan, moga, virus","['heran', 'medsos', 'media', 'mainstream', 'angkat', 'ojol', 'sengsara', 'kayak', 'buruh', 'bangun', 'buruh', 'serabutan', 'covid', 'number', 'hidup', 'kacau']"
215,6.0,0.9698,"number, covid, allcaps, repeated, virus, sebar, cegah, jaga, corona, cuci_tangan","['allcaps', 'asn', 'allcaps', 'allcaps', 'tni', 'allcaps', 'allcaps', 'polri', 'allcaps', 'pegawai', 'allcaps', 'bumn', 'allcaps', 'larang', 'mudik', 'manut', 'ora', 'ngeyel', 'ayo', 'satu', 'moga', 'covid', 'number', 'hilang', 'jaga', 'bersih', 'jaga', 'sehat']"
216,1.0,0.8905,"allcaps, covid, number, tenaga_medis, iya, cegah, repeated, sebar, moga, medis","['kawasan', 'physical', 'distancing', 'upaya', 'cegah', 'covid', 'number']"
217,2.0,0.7079,"covid, number, repeated, jaga_jarak, kena, tangan, jaga, takut, orang, salam","['kalah', 'covid']"
218,4.0,0.9698,"number, allcaps, covid, repeated, gugus_tugas, orang, moga, wabah, masyarakat, mata_rantai","['warga', 'kabupaten', 'lampung', 'utara', 'nyata', 'positif', 'papar', 'covid', 'number', 'karantina', 'komplek', 'islamic', 'center', 'kotabumi', 'plt', 'bupati', 'budi', 'utomo', 'ketua', 'tim', 'gugus', 'tugas', 'tanggulang', 'covid', 'number', 'gugus_tugas', 'gugus_tugas', 'gugus_tugas']"
219,0.0,0.9687,"number, covid, allcaps, repeated, virus, corona, iya, indonesia, cegah, papua_barat","['camana', 'nak', 'cari', 'rezeki', 'ada', 'kerja', 'kena', 'buang', 'kerja', 'dgan', 'ekonomi', 'ganggu', 'sebab', 'covid', 'number', 'repeated', 'nak', 'bash', 'kecam', 'pasal', 'isu', 'menteri', 'laa', 'artis', 'laa', 'kaum', 'laa']"
220,5.0,0.9374,"allcaps, covid, number, repeated, moga, perintah, indonesia, iya, pandemi, bantu","['presiden', 'langkah', 'serius', 'hadap', 'pandemi', 'covid', 'number', 'bom', 'orang', 'indonesia', 'diyerima', 'dunia', 'internasional']"
221,3.0,0.9416,"number, covid, allcaps, repeated, orang, rumah, iya, tangan, moga, virus","['nolak', 'jenazah', 'covid', 'number', 'nakes', 'takut', 'iya', 'jenazah', 'tolak', 'bumi', 'gapernah', 'nonton', 'sinetron', 'hidayah']"
222,6.0,0.8749,"number, covid, allcaps, repeated, virus, sebar, cegah, jaga, corona, cuci_tangan","['posko', 'siaga', 'covid', 'number', 'data', 'mudik']"
223,5.0,0.8905,"allcaps, covid, number, repeated, moga, perintah, indonesia, iya, pandemi, bantu","['rencana', 'libur', 'sabang', 'batall', 'howalaahh', 'covid', 'covid']"
224,6.0,0.9602,"number, covid, allcaps, repeated, virus, sebar, cegah, jaga, corona, cuci_tangan","['korban', 'allcaps', 'phk', 'allcaps', 'rumah', 'akibat', 'sebar', 'virus', 'allcaps', 'covid', 'allcaps', 'number', 'ayo', 'daftar', 'kartu', 'allcaps', 'pra', 'kerja', 'allcaps', 'mudah', 'koq']"
225,6.0,0.9562,"number, covid, allcaps, repeated, virus, sebar, cegah, jaga, corona, cuci_tangan","['satu', 'lawan', 'sebar', 'virus', 'corona', 'covid', 'number', 'jaga', 'sehat', 'jauh', 'kerumun', 'cuci', 'tangan', 'pakai', 'sabun', 'repeated', 'infolingga', 'cuci_tangan', 'cuci_tangan']"
226,5.0,0.5519,"allcaps, covid, number, repeated, moga, perintah, indonesia, iya, pandemi, bantu","['bencana', 'nasional', 'covid', 'number', 'warga', 'positif', 'corona', 'pemprov', 'allcaps', 'ntt', 'allcaps', 'koordinasi', 'kemenkes']"
227,5.0,0.9374,"allcaps, covid, number, repeated, moga, perintah, indonesia, iya, pandemi, bantu","['korut', 'klaim', 'bebas', 'virus', 'allcaps', 'covid', 'allcaps', 'number', 'negara', 'apit', 'kosel', 'china', 'episentrum']"
228,4.0,0.9635,"number, allcaps, covid, repeated, gugus_tugas, orang, moga, wabah, masyarakat, mata_rantai","['kapolrestabes', 'semarang', 'forkopimda', 'kota', 'semarang', 'himbauan', 'masyarakat', 'pakai', 'masker', 'jaga', 'bersih', 'rumah', 'putus', 'mata', 'rantai', 'sebar', 'virus', 'corona', 'covid', 'number', 'mata_rantai', 'mata_rantai', 'mata_rantai']"
229,4.0,0.8248,"number, allcaps, covid, repeated, gugus_tugas, orang, moga, wabah, masyarakat, mata_rantai","['covid', 'number', 'nang', 'pojok']"
230,0.0,0.9124,"number, covid, allcaps, repeated, virus, corona, iya, indonesia, cegah, papua_barat","['tular', 'covid', 'number', 'mudik', 'jakarta', 'kota', 'diri', 'number', 'positif']"
231,5.0,0.927,"allcaps, covid, number, repeated, moga, perintah, indonesia, iya, pandemi, bantu","['allcaps', 'politik', 'wabah', 'covid', 'allcaps', 'number', 'allcaps', 'peduli', 'rakyat', 'allcaps', 'repeated']"
232,6.0,0.9619,"number, covid, allcaps, repeated, virus, sebar, cegah, jaga, corona, cuci_tangan","['satu', 'lawan', 'sebar', 'virus', 'corona', 'covid', 'number', 'kabupaten', 'lingga', 'jaga', 'sehat', 'jauh', 'kerumun', 'cuci', 'tangan', 'pakai', 'sabun', 'repeated', 'infolingga', 'info', 'cuci_tangan', 'cuci_tangan']"
233,0.0,0.8748,"number, covid, allcaps, repeated, virus, corona, iya, indonesia, cegah, papua_barat","['tanggal', 'merah', 'cocok', 'wabah', 'covid', 'number']"
234,4.0,0.7809,"number, allcaps, covid, repeated, gugus_tugas, orang, moga, wabah, masyarakat, mata_rantai","['juang', 'covid', 'repeated']"
235,1.0,0.6992,"allcaps, covid, number, tenaga_medis, iya, cegah, repeated, sebar, moga, medis","['nyai', 'baik', 'gitu', 'hibur', 'rumah', 'sehat', 'nyai', 'moga', 'alloh', 'lindung', 'jauh', 'wabah', 'covid', 'moga', 'allcaps', 'yra', 'allcaps']"
236,4.0,0.9619,"number, allcaps, covid, repeated, gugus_tugas, orang, moga, wabah, masyarakat, mata_rantai","['number', 'narapidana', 'bebas', 'wabah', 'covid', 'number', 'koruptor', 'bayang', 'sih', 'susah', 'payah', 'tangkap', 'tikus', 'banget', 'itu', 'eh', 'elongated', 'repeated', 'tau', 'lepas', 'kayak', 'rumah']"
237,4.0,0.9124,"number, allcaps, covid, repeated, gugus_tugas, orang, moga, wabah, masyarakat, mata_rantai","['allcaps', 'physical', 'distancing', 'putus', 'rantai', 'sebar', 'covid', 'allcaps', 'number']"
238,5.0,0.9204,"allcaps, covid, number, repeated, moga, perintah, indonesia, iya, pandemi, bantu","['seram', 'jatuh', 'tempo', 'massal', 'covid', 'number', 'allcaps', 'usa', 'allcaps', 'indonesia']"
239,1.0,0.9203,"allcaps, covid, number, tenaga_medis, iya, cegah, repeated, sebar, moga, medis","['repot', 'sissy', 'priscillia', 'damping', 'anak', 'sekolah', 'rumah', 'wabah', 'covid', 'number']"
240,4.0,0.9453,"number, allcaps, covid, repeated, gugus_tugas, orang, moga, wabah, masyarakat, mata_rantai","['kenal', 'lelah', 'tim', 'gugus', 'tugas', 'covid', 'number', 'semprot', 'mukim', 'padat', 'duduk', 'belawan', 'gugus_tugas', 'gugus_tugas', 'gugus_tugas']"
241,3.0,0.7046,"number, covid, allcaps, repeated, orang, rumah, iya, tangan, moga, virus","['bnyak', 'kena', 'covid', 'sih', 'miskin', 'tuduh', 'bawa', 'virus', 'iya', 'nasib', 'orang', 'miskin', 'ky', 'kuli', 'proyek', 'sopir', 'ambulans', 'kang', 'gali', 'kubur', 'kena', 'getah', 'lindung', 'kaum', 'miskin', 'iya', 'rabb', 'repeated']"
242,7.0,0.9735,"covid, repeated, number, allcaps, positif, cari, kiamat, orang, perintah, manusia","['bahan', 'kempen', 'mahu', 'padam', 'da', 'repeated', 'release', 'padam', 'repeated', 'release', 'padam', 'repeated', 'dok', 'dendiam', 'wat', 'keje', 'orang', 'tingkat', 'nampak', 'takyah', 'wat', 'kempen', 'langsung', 'save', 'wang', 'raja', 'masuk', 'tabung', 'covid', 'number', 'tolong', 'rakyat']"
243,4.0,0.9124,"number, allcaps, covid, repeated, gugus_tugas, orang, moga, wabah, masyarakat, mata_rantai","['allcaps', 'pandu', 'isolasi', 'mandiri', 'antisipasi', 'sebar', 'covid', 'allcaps', 'number']"
244,3.0,0.9583,"number, covid, allcaps, repeated, orang, rumah, iya, tangan, moga, virus","['betoi', 'zmn', 'allcaps', 'pkp', 'allcaps', 'spatut', 'bantu', 'nambah', 'beban', 'pulak', 'repeated', 'sb', 'spesis', 'la', 'angkuh', 'bodoh', 'tambah', 'kes', 'covid', 'repeated']"
245,3.0,0.9484,"number, covid, allcaps, repeated, orang, rumah, iya, tangan, moga, virus","['kasih', 'tips', 'cegah', 'sebar', 'berita', 'bohong', 'covid', 'number', 'wa', 'teliti', 'berita', 'iya', 'kak', 'repeated', 'terus', 'repeated']"
246,0.0,0.9619,"number, covid, allcaps, repeated, virus, corona, iya, indonesia, cegah, papua_barat","['surabaya', 'babinsa', 'koramil', 'tenggilis', 'mejoyo', 'upaya', 'laksana', 'sosialisasi', 'warga', 'masyarakat', 'redam', 'wabah', 'virus', 'corona', 'covid', 'number', 'kali', 'serma', 'siswono', 'sertu', 'supri', 'warsoyo']"
247,0.0,0.9326,"number, covid, allcaps, repeated, virus, corona, iya, indonesia, cegah, papua_barat","['virus', 'corona', 'kenal', 'usia', 'pangkat', 'jabat', 'keluarga', 'raja', 'saudi', 'tular', 'covid', 'number']"
248,0.0,0.9539,"number, covid, allcaps, repeated, virus, corona, iya, indonesia, cegah, papua_barat","['asalamualaikum', 'selamat', 'pagi', 'semogga', 'hati', 'semogga', 'covid', 'number', 'cepat', 'masuk', 'rohomadhon', 'semgga', 'covid', 'number', 'moga', 'iya', 'robal', 'alamin']"
249,5.0,0.8539,"allcaps, covid, number, repeated, moga, perintah, indonesia, iya, pandemi, bantu","['mudah', 'an', 'covid', 'badan', 'mu']"
250,5.0,0.9649,"allcaps, covid, number, repeated, moga, perintah, indonesia, iya, pandemi, bantu","['mimpi', 'malam', 'allcaps', 'psbb', 'allcaps', 'tahan', 'batal', 'covid', 'data', 'tambah', 'tekan', 'perintah', 'jalan', 'giat', 'ekonomi', 'sedia', 'ahli', 'sehat', 'tenaga', 'medis', 'pasrah', 'tenaga_medis', 'tenaga_medis', 'tenaga_medis']"
251,0.0,0.8188,"number, covid, allcaps, repeated, virus, corona, iya, indonesia, cegah, papua_barat","['number', 'dampak', 'covid', 'number', 'ekonomi', 'indonesia', 'kondisi', 'imbas', 'turun', 'konsumsi', 'rumah', 'tangga', 'investasi', 'merosot', 'tajam', 'allcaps', 'covid', 'allcaps', 'number', 'prediksi', 'investasi', 'merosot', 'level', 'persen', 'buruk']"
252,4.0,0.8748,"number, allcaps, covid, repeated, gugus_tugas, orang, moga, wabah, masyarakat, mata_rantai","['cegah', 'covid', 'number', 'area', 'physical', 'distancing']"
253,5.0,0.927,"allcaps, covid, number, repeated, moga, perintah, indonesia, iya, pandemi, bantu","['usaha', 'efin', 'min', 'wabah', 'covid', 'number', 'kantor', 'pajak', 'online', 'min', 'trmksh']"
254,5.0,0.8544,"allcaps, covid, number, repeated, moga, perintah, indonesia, iya, pandemi, bantu","['peta', 'identifikasi', 'sebar', 'covid', 'number', 'kota', 'serang', 'update', 'dasar', 'postingan', 'pasien', 'positif', 'kota', 'serang', 'tambah', 'total', 'number', 'orang', 'kait']"
255,6.0,0.9326,"number, covid, allcaps, repeated, virus, sebar, cegah, jaga, corona, cuci_tangan","['semenjak', 'covid', 'repeated', 'ramai', 'pompuan', 'gigih', 'pakai', 'make', 'up', 'rumah', 'repeated', 'mask']"
256,6.0,0.8664,"number, covid, allcaps, repeated, virus, sebar, cegah, jaga, corona, cuci_tangan","['duka', 'tinggal', 'tugas', 'medis', 'jibaku', 'aman', 'pasien', 'covid', 'number']"
257,6.0,0.9453,"number, covid, allcaps, repeated, virus, sebar, cegah, jaga, corona, cuci_tangan","['selamat', 'pagi', 'informasi', 'informasi', 'lengkap', 'jadwal', 'jalan', 'allcaps', 'krl', 'allcaps', 'date', 'lihat', 'website', 'link', 'tks']"
258,6.0,0.9027,"number, covid, allcaps, repeated, virus, sebar, cegah, jaga, corona, cuci_tangan","['covid', 'number', 'sebar', 'binatang', 'kah', 'moga', 'ahli', 'teliti']"
259,0.0,0.927,"number, covid, allcaps, repeated, virus, corona, iya, indonesia, cegah, papua_barat","['moga', 'indonesia', 'tekan', 'lonjak', 'pasien', 'covid', 'number', 'minim', 'allcaps', 'apd', 'allcaps']"
260,5.0,0.6701,"allcaps, covid, number, repeated, moga, perintah, indonesia, iya, pandemi, bantu","['kepastin', 'miss', 'covid', 'number', 'pergi', 'muka', 'bumi']"
261,5.0,0.9124,"allcaps, covid, number, repeated, moga, perintah, indonesia, iya, pandemi, bantu","['allcaps', 'tular', 'covid', 'allcaps', 'number', 'allcaps', 'kampung', 'halaman', 'allcaps']"
262,6.0,0.9124,"number, covid, allcaps, repeated, virus, sebar, cegah, jaga, corona, cuci_tangan","['pandemik', 'allcaps', 'covid', 'allcaps', 'number', 'polri', 'angka', 'jahat', 'turun']"
263,3.0,0.965,"number, covid, allcaps, repeated, orang, rumah, iya, tangan, moga, virus","['kesana', 'ngambil', 'ragu', 'situasi', 'harus', 'stay', 'at', 'home', 'covid', 'number', 'mohon', 'evaluasi', 'iya', 'repeated', 'batas', 'konfirmasi', 'produk', 'shopee', 'nya', 'tanggal', 'date', 'repeated', 'terima', 'kasih']"
264,2.0,0.9326,"covid, number, repeated, jaga_jarak, kena, tangan, jaga, takut, orang, salam","['polres', 'trenggalek', 'patroli', 'menghimbau', 'masyarakat', 'jaga', 'jarak', 'warga', 'suka', 'nongkrong', 'jaga_jarak', 'jaga_jarak']"
265,4.0,0.927,"number, allcaps, covid, repeated, gugus_tugas, orang, moga, wabah, masyarakat, mata_rantai","['number', 'orang', 'temenya', 'glenn', 'nyusul', 'biar', 'siksa', 'virus', 'corona', 'covid', 'number']"
266,4.0,0.9583,"number, allcaps, covid, repeated, gugus_tugas, orang, moga, wabah, masyarakat, mata_rantai","['doa', 'moga', 'dunia', 'bebas', 'nama', 'virus', 'corona', 'covid', 'number', 'dunia', 'sehat', 'manusia', 'syukur', 'allah', 'allcaps', 'swt', 'allcaps', 'sehat', 'bahagia', 'moga']"
267,1.0,0.9124,"allcaps, covid, number, tenaga_medis, iya, cegah, repeated, sebar, moga, medis","['kampung', 'panglime', 'linting', 'cegah', 'covid', 'number', 'virus', 'korona', 'masyarakat']"
268,4.0,0.708,"number, allcaps, covid, repeated, gugus_tugas, orang, moga, wabah, masyarakat, mata_rantai","['covid', 'sial']"
269,4.0,0.7218,"number, allcaps, covid, repeated, gugus_tugas, orang, moga, wabah, masyarakat, mata_rantai","['ramu', 'empon', 'empon', 'jaga', 'sehat', 'masa', 'virus', 'covid', 'corona', 'jahe', 'bagus', 'jahe', 'merah', 'temulawak', 'cengkeh', 'kunir', 'kunyit', 'sereh', 'kayu', 'manis', 'gula', 'merah', 'madu']"
270,5.0,0.9562,"allcaps, covid, number, repeated, moga, perintah, indonesia, iya, pandemi, bantu","['pakai', 'masker', 'main', 'yoyo', 'mu', 'potret', 'sd', 'vita', 'school', 'pandemi', 'covid', 'number', 'budaya', 'masker', 'contact', 'us', 'cak', 'dolan', 'number']"
271,0.0,0.9326,"number, covid, allcaps, repeated, virus, corona, iya, indonesia, cegah, papua_barat","['cuti', 'laahh', 'kejar', 'tinggal', 'kemarin', 'kejar', 'covid', 'number', 'tinggal', 'jadi', 'modus', 'repeated']"
272,5.0,0.8904,"allcaps, covid, number, repeated, moga, perintah, indonesia, iya, pandemi, bantu","['amit', 'nolak', 'positif', 'covid', 'ngerawat', 'apaa', 'repeated']"
273,4.0,0.9539,"number, allcaps, covid, repeated, gugus_tugas, orang, moga, wabah, masyarakat, mata_rantai","['rantau', 'jakarta', 'ingat', 'allcaps', 'odp', 'covid', 'allcaps', 'number', 'pikir', 'allcaps', 'paksa', 'allcaps', 'pulang', 'kampung', 'apa', 'alas', 'gambar', 'laku']"
274,0.0,0.9124,"number, covid, allcaps, repeated, virus, corona, iya, indonesia, cegah, papua_barat","['nama', 'virus', 'covid', 'la', 'convic', 'convin', 'adoi', 'elongated', 'bebal']"
275,6.0,0.927,"number, covid, allcaps, repeated, virus, sebar, cegah, jaga, corona, cuci_tangan","['cegah', 'virus', 'corona', 'covid', 'number', 'srikandi', 'polres', 'pasuruan', 'bagi', 'masker', 'masyarakat']"
276,5.0,0.9124,"allcaps, covid, number, repeated, moga, perintah, indonesia, iya, pandemi, bantu","['unggal', 'lilir', 'ngaragap', 'tarang', 'syukur', 'heunteu', 'panas', 'efek', 'covid']"
277,6.0,0.9539,"number, covid, allcaps, repeated, virus, sebar, cegah, jaga, corona, cuci_tangan","['aliansi', 'bal', 'lawan', 'covid', 'number', 'sinergi', 'perintah', 'kota', 'denpasar', 'putus', 'sebar', 'covid', 'number', 'via', 'ungkap', 'fakta', 'lurus', 'sejarah']"
278,5.0,0.9204,"allcaps, covid, number, repeated, moga, perintah, indonesia, iya, pandemi, bantu","['eh', 'tl', 'kaga', 'sliweran', 'berita', 'covid', 'ud', 'selesai', 'kali', 'iya']"
279,6.0,0.9203,"number, covid, allcaps, repeated, virus, sebar, cegah, jaga, corona, cuci_tangan","['number', 'kerja', 'jatim', 'korban', 'allcaps', 'phk', 'allcaps', 'covid', 'number', 'via']"
280,1.0,0.8539,"allcaps, covid, number, tenaga_medis, iya, cegah, repeated, sebar, moga, medis","['tumpu', 'kes', 'musim', 'covid', 'number']"
281,3.0,0.9539,"number, covid, allcaps, repeated, orang, rumah, iya, tangan, moga, virus","['kemenkeuri', 'perintah', 'siap', 'bijak', 'extraordinary', 'tangan', 'covid', 'number', 'belanja', 'negara', 'tingkat', 'fasilitas', 'layan', 'sehat', 'bantu', 'sosial', 'beri', 'stimulus']"
282,5.0,0.781,"allcaps, covid, number, repeated, moga, perintah, indonesia, iya, pandemi, bantu","['nunggu', 'covid', 'selesai']"
283,0.0,0.9453,"number, covid, allcaps, repeated, virus, corona, iya, indonesia, cegah, papua_barat","['suruh', 'news', 'anchor', 'pakai', 'masker', 'lawan', 'covid', 'number', 'jg', 'meng', 'edukasi', 'msy', 'ngeyel', 'pakai', 'masker']"
284,1.0,0.9735,"allcaps, covid, number, tenaga_medis, iya, cegah, repeated, sebar, moga, medis","['allcaps', 'allcaps', 'rezim', 'jkw', 'allcaps', 'remeh', 'allcaps', 'allcaps', 'tutup', 'allcaps', 'aman', 'turis', 'proyek', 'investor', 'allcaps', 'tka', 'allcaps', 'negara', 'cina', 'komunis', 'indonesia', 'allcaps', 'serang', 'allcaps', 'kuasa', 'gagap', 'cegah', 'kendali', 'lindung', 'rakyat', 'tular', 'mati']"
285,5.0,0.9562,"allcaps, covid, number, repeated, moga, perintah, indonesia, iya, pandemi, bantu","['bantu', 'tenaga', 'medis', 'rawat', 'pasien', 'allcaps', 'covid', 'allcaps', 'number', 'mata', 'garuda', 'sulsel', 'produksi', 'allcaps', 'apd', 'allcaps', 'tenaga_medis', 'tenaga_medis', 'tenaga_medis']"
286,6.0,0.9583,"number, covid, allcaps, repeated, virus, sebar, cegah, jaga, corona, cuci_tangan","['new', 'post', 'allcaps', 'covid', 'allcaps', 'number', 'obat', 'hilang', 'gumpal', 'bantu', 'selamat', 'nyawa', 'pasien', 'ventilator', 'has', 'been', 'published', 'on', 'kafe', 'kepo']"
287,1.0,0.9026,"allcaps, covid, number, tenaga_medis, iya, cegah, repeated, sebar, moga, medis","['belanja', 'sayur', 'online', 'serbu', 'warganet', 'pandemi', 'covid', 'number']"
288,4.0,0.8248,"number, allcaps, covid, repeated, gugus_tugas, orang, moga, wabah, masyarakat, mata_rantai","['moga', 'covid', 'number', 'moga']"
289,7.0,0.9375,"covid, repeated, number, allcaps, positif, cari, kiamat, orang, perintah, manusia","['gubernur', 'gorontalo', 'rusli', 'habibie', 'umum', 'positif', 'gorontalo', 'kamis', 'date', 'malam', 'foto', 'adiwinata', 'solihin']"
290,0.0,0.9513,"number, covid, allcaps, repeated, virus, corona, iya, indonesia, cegah, papua_barat","['berita', 'artis', 'tinggal', 'sengaja', 'besar', 'kan', 'alih', 'berita', 'lalai', 'perintah', 'atas', 'wabah', 'allcaps', 'covid', 'allcaps', 'number', 'repeated']"
291,3.0,0.9562,"number, covid, allcaps, repeated, orang, rumah, iya, tangan, moga, virus","['dholat', 'jamaah', 'dilarangngopi', 'warung', 'dilarangpesta', 'nikah', 'larang', 'dibubarinada', 'mati', 'yag', 'ngelayat', 'penuh', 'larang', 'dibubarin', 'repeated', 'virus', 'covid', 'number', 'madih']"
292,3.0,0.9452,"number, covid, allcaps, repeated, orang, rumah, iya, tangan, moga, virus","['allcaps', 'kumpul', 'allcaps', 'poster', 'stay', 'at', 'home', 'edukasi', 'covid', 'number', 'bagi', 'facebook', 'whatsapp', 'instagram', 'via']"
293,2.0,0.9027,"covid, number, repeated, jaga_jarak, kena, tangan, jaga, takut, orang, salam","['bayan', 'yadda', 'zaka', 'zaki', 'gujewa', 'coronavirus', 'covid', 'number']"
294,0.0,0.9717,"number, covid, allcaps, repeated, virus, corona, iya, indonesia, cegah, papua_barat","['juara', 'allcaps', 'pubg', 'allcaps', 'ned', 'brotherhood', 'selangor', 'cybergames', 'stay', 'home', 'edition', 'tahniah', 'menang', 'nanti', 'selangor', 'cyber', 'games', 'number', 'lepas', 'jaya', 'lawan', 'covid', 'number', 'terima', 'kasih', 'sumbang', 'johan', 'rm', 'jaya', 'kutip']"
295,4.0,0.9204,"number, allcaps, covid, repeated, gugus_tugas, orang, moga, wabah, masyarakat, mata_rantai","['tim', 'pesisir', 'selatan', 'sisir', 'number', 'warga', 'kontak', 'pasien', 'covid', 'number']"
296,4.0,0.9027,"number, allcaps, covid, repeated, gugus_tugas, orang, moga, wabah, masyarakat, mata_rantai","['allcaps', 'artikel', 'allcaps', 'covid', 'number', 'hidup', 'sosial', 'masyarakat']"
297,0.0,0.9203,"number, covid, allcaps, repeated, virus, corona, iya, indonesia, cegah, papua_barat","['repeated', 'timbus', 'je', 'salji', 'konfem', 'virus', 'covid', 'number', 'serang', 'dorang']"
298,6.0,0.9124,"number, covid, allcaps, repeated, virus, sebar, cegah, jaga, corona, cuci_tangan","['cegah', 'sebar', 'covid', 'number', 'tim', 'satgas', 'periksa', 'kapal', 'masuk']"
299,4.0,0.9204,"number, allcaps, covid, repeated, gugus_tugas, orang, moga, wabah, masyarakat, mata_rantai","['syukur', 'moga', 'abang', 'sehat', 'moga', 'indonesia', 'cepat', 'bebas', 'covid', 'number']"
300,5.0,0.965,"allcaps, covid, number, repeated, moga, perintah, indonesia, iya, pandemi, bantu","['indonesia', 'tegas', 'allcaps', 'dk', 'pbb', 'allcaps', 'tunjuk', 'satu', 'atas', 'dampak', 'allcaps', 'covid', 'allcaps', 'number', 'thdp', 'damai', 'aman', 'internasional', 'kerja', 'global', 'solidaritas', 'hindar', 'diskriminasi', 'stigmatisasi']"
301,0.0,0.9123,"number, covid, allcaps, repeated, virus, corona, iya, indonesia, cegah, papua_barat","['garda', 'depan', 'tangan', 'covid', 'number', 'tunjuk', 'manusia', 'pikir', 'cerdas']"
302,6.0,0.9513,"number, covid, allcaps, repeated, virus, sebar, cegah, jaga, corona, cuci_tangan","['perawat', 'ngerawat', 'pasien', 'covid', 'kena', 'resiko', 'kerja', 'nyawa', 'taruh', 'sembuh', 'dimakamin', 'daerah', 'tolak', 'hati', 'nurani', 'mana', 'sih']"
303,1.0,0.9326,"allcaps, covid, number, tenaga_medis, iya, cegah, repeated, sebar, moga, medis","['jasa', 'tenaga', 'medis', 'tlah', 'gugur', 'jihad', 'wabah', 'covid', 'number', 'tenaga_medis', 'tenaga_medis', 'tenaga_medis']"
304,0.0,0.854,"number, covid, allcaps, repeated, virus, corona, iya, indonesia, cegah, papua_barat","['covid', 'telanjang', 'tonton', 'number', 'urus']"
305,3.0,0.9708,"number, covid, allcaps, repeated, orang, rumah, iya, tangan, moga, virus","['allcaps', 'dprd', 'allcaps', 'kota', 'makassar', 'info', 'dprd', 'kotamakassar', 'perintah', 'makassar', 'realokasi', 'refocusing', 'anggar', 'number', 'milyar', 'tangan', 'dampak', 'pandemi', 'allcaps', 'covid', 'allcaps', 'number', 'kota', 'makassar', 'ketua', 'allcaps', 'dprd', 'allcaps', 'kota']"
306,2.0,0.9635,"covid, number, repeated, jaga_jarak, kena, tangan, jaga, takut, orang, salam","['kesan', 'covid', 'number', 'rentas', 'pelbagai', 'lapis', 'iaitu', 'ubat', 'media', 'ideologi', 'politik', 'dengar', 'analisis', 'geo', 'politik', 'covid', 'number', 'legar', 'media', 'mohd', 'azmi', 'abdul', 'hamid']"
307,3.0,0.9602,"number, covid, allcaps, repeated, orang, rumah, iya, tangan, moga, virus","['ingat', 'milad', 'imam', 'mahdi', 'afs', 'allcaps', 'dpw', 'abi', 'allcaps', 'sumsel', 'allcaps', 'dpd', 'abi', 'allcaps', 'kab', 'probolinggo', 'giat', 'sosial', 'cegah', 'covid', 'number']"
308,3.0,0.9676,"number, covid, allcaps, repeated, orang, rumah, iya, tangan, moga, virus","['yah', 'orang', 'mutasi', 'virus', 'bahaya', 'dar', 'covid', 'number', 'ngomong', 'dikit', 'obat', 'sakit', 'kepala', 'bodrex', 'pokok', 'bodrex', 'repeated', 'ko', 'antokkan', 'kepala', 'kau', 'batu', 'sembuh', 'sampek', 'paham', 'repeated']"
309,6.0,0.927,"number, covid, allcaps, repeated, virus, sebar, cegah, jaga, corona, cuci_tangan","['alas', 'ndak', 'lari', 'sepeda', 'joging', 'bareng', 'pandemik', 'allcaps', 'covid', 'allcaps', 'number']"
310,0.0,0.8383,"number, covid, allcaps, repeated, virus, corona, iya, indonesia, cegah, papua_barat","['usaha', 'hasut', 'suasana', 'tugas', 'hasut', 'ustad', 'ustad', 'kadal', 'gurun', 'repeated', 'warga', 'dunia', 'warga', 'negara', 'dukung', 'usaha', 'tekan', 'covid', 'number', 'minimal', 'diam']"
311,4.0,0.965,"number, allcaps, covid, repeated, gugus_tugas, orang, moga, wabah, masyarakat, mata_rantai","['number', 'narapidana', 'bebas', 'wabah', 'covid', 'number', 'koruptor', 'repeated', 'serba', 'serbi', 'allcaps', 'mmc', 'allcaps', 'perintah', 'kemenkumham', 'keluar', 'bebas', 'number', 'narapidana', 'anak', 'program', 'asimilasi', 'integrasi', 'repeated']"
312,5.0,0.9416,"allcaps, covid, number, repeated, moga, perintah, indonesia, iya, pandemi, bantu","['orang', 'bagusnye', 'disuru', 'bantu', 'dokter', 'nanganin', 'covid', 'number', 'apd', 'sensasi', 'mele', 'lo', 'nesnes', 'repeated']"
313,0.0,0.9326,"number, covid, allcaps, repeated, virus, corona, iya, indonesia, cegah, papua_barat","['daerah', 'papua', 'barat', 'zona', 'hijau', 'allcaps', 'covid', 'allcaps', 'number', 'papua_barat', 'papua_barat', 'papua_barat']"
